id,code,title_ko,COMM,RESP,PROB,GROW,STRE,ADAP,representative_job
213,4169,기타 연극·영화 및 영상 관련,3,3,3,3,3,3,영상편집/콘텐츠
214,417,문화·예술 기획자 및 매니저,3,5,3,4,3,4,기획/전략 담당자
215,4171,공연 및 시각예술 기획자,3,3,3,4,3,4,기획/전략 담당자
216,4172,영화 및 음반 기획자,3,3,3,4,3,4,기획/전략 담당자
217,4173,연예인 및 스포츠 매니저,3,5,3,3,3,3,기타전문직
218,42,스포츠·레크리에이션직,3,3,3,3,3,3,기타전문직
219,420,스포츠·레크리에이션 종사자,3,3,3,3,3,3,기타전문직
220,4201,스포츠 감독 및 코치,3,3,3,3,3,3,기타전문직
221,4202,직업 운동선수,3,3,3,3,3,3,기타전문직
222,4203,경기 심판 및 경기 기록원,3,3,3,3,3,3,기타전문직
223,4204,스포츠 강사 및 트레이너,4,3,3,4,3,3,교육·교사
224,4205,기타 스포츠 및 레크리에이션,3,3,3,3,3,3,기타전문직
225,4209,기타 여가 서비스 종사원,4,3,3,3,3,3,기타전문직
226,51,미용·예식 및 반려동물 서비스직,4,3,3,3,3,3,기타전문직
227,511,미용 서비스원,4,3,3,3,3,3,기타전문직
228,5111,이용사,3,3,3,3,3,3,기타전문직
229,5112,미용사,3,3,3,3,3,3,기타전문직
230,5113,네일 관리사,3,3,3,3,3,3,기타전문직
231,5114,피부 및 체형 관리사,3,3,3,3,3,3,기타전문직
232,5115,메이크업 아티스트 및 분장사,3,3,3,3,3,3,기타전문직
233,5119,기타 미용 관련 서비스 종사원,4,3,3,3,3,3,기타전문직
234,512,결혼·장례 등 예식 서비스원,4,3,3,3,3,3,기타전문직
235,5121,결혼 상담원 및 웨딩플래너,4,3,3,3,3,3,상담사/심리상담사
236,5122,혼례 종사원,3,3,3,3,3,3,기타전문직
237,5123,장례 지도사 및 장례 상담원,4,3,3,3,3,3,상담사/심리상담사
238,5124,점술가 및 민속신앙 종사원,3,3,3,3,3,3,기타전문직
239,5129,기타 개인 생활 서비스 종사원,4,3,3,3,3,3,기타전문직
240,513,반려동물 서비스원,4,3,3,3,3,3,기타전문직
241,5131,반려동물 훈련사 및 행동,3,3,3,3,3,3,기타전문직
242,5132,반려동물 관리 종사원,3,3,3,3,3,3,기타전문직
243,52,여행·숙박·오락 서비스직,4,3,3,3,3,3,기타전문직
244,521,여행 서비스원,4,3,3,3,3,3,기타전문직
245,5211,여행 상품 개발자,3,3,5,4,3,3,기타전문직
246,5212,여행 사무원,3,3,3,3,3,3,행정·사무
247,5213,관광 서비스 종사원,4,3,3,3,3,3,기타전문직
248,522,항공기·선박·열차 객실승무원,4,3,3,3,3,3,기타전문직
249,5221,항공기 객실 승무원,4,3,3,3,3,3,기타전문직
